Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Pathway,Gene Ontology (biological process),Gene Ontology (molecular function),PDB,Pfam
P0ADP2,reviewed,YIGI_ECOLI,Medium/long-chain acyl-CoA thioesterase YigI (EC 3.1.2.20),yigI b3820 JW5588,Escherichia coli (strain K12),155,,lipid metabolic process [GO:0006629]; monocarboxylic acid metabolic process [GO:0032787],acyl-CoA hydrolase activity [GO:0016289],,PF03061;
P0ADR8,reviewed,PPNN_ECOLI,Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase (EC 3.2.2.-) (EC 3.2.2.10) (AMP nucleosidase) (EC 3.2.2.4) (CMP nucleosidase) (GMP nucleosidase) (IMP nucleosidase) (UMP nucleosidase) (dTMP nucleosidase),ppnN ygdH b2795 JW2766,Escherichia coli (strain K12),454,,protein homotetramerization [GO:0051289],AMP nucleosidase activity [GO:0008714]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; inosinate nucleosidase activity [GO:0047723]; pyrimidine-5'-nucleotide nucleosidase activity [GO:0047405],6GFL;6GFM;,PF14793;PF03641;PF11892;
P0ADS2,reviewed,ZAPA_ECOLI,Cell division protein ZapA (Z ring-associated protein ZapA),zapA ygfE b2910 JW2878,Escherichia coli (strain K12),109,,cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; septin ring assembly [GO:0000921],identical protein binding [GO:0042802],4P1M;,PF05164;
P0ADV1,reviewed,LPTA_ECOLI,Lipopolysaccharide export system protein LptA,lptA yhbN b3200 JW3167,Escherichia coli (strain K12),185,,Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide transport [GO:0015920],glycolipid transfer activity [GO:0017089]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530],2R19;2R1A;6GD5;7QS6;7ZED;8BSS;8GAJ;8GAK;8GAL;,PF03968;
P0ADV9,reviewed,LPTC_ECOLI,Lipopolysaccharide export system protein LptC,lptC yrbK b3199 JW3166,Escherichia coli (strain K12),191,,Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide transport [GO:0015920],glycolipid transfer activity [GO:0017089]; identical protein binding [GO:0042802]; lipopolysaccharide transmembrane transporter activity [GO:0015221],3MY2;4B54;6MI7;,PF06835;
P0ADY1,reviewed,PPID_ECOLI,Periplasmic chaperone PpiD (Periplasmic folding chaperone),ppiD ybaU b0441 JW0431,Escherichia coli (strain K12),623,,chaperone-mediated protein folding [GO:0061077],identical protein binding [GO:0042802]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755],2KGJ;,PF13145;PF13624;
P0ADY3,reviewed,RL14_ECOLI,Large ribosomal subunit protein uL14 (50S ribosomal protein L14),rplN b3310 JW3272,Escherichia coli (strain K12),123,,cytoplasmic translation [GO:0002181],large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735],1ML5;2J28;2RDO;3BBX;3IY9;3IZZ;3J5L;3J7Z;3J8G;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;487D;4CSU;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4UY8;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5ADY;5AFI;5AKA;5GAD;5GAE;5GAF;5GAG;5GAH;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5MGP;5NCO;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GBZ;6GC0;6GC4;6GC6;6GC7;6GC8;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I0Y;6I7V;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6PJ6;6Q97;6Q98;6Q9A;6QDW;6QUL;6S0K;6SZS;6TBV;6TC3;6U48;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNT;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XGF;6XII;6XIJ;6XZ7;6XZA;6XZB;6Y69;6YS3;6YSR;6YSS;6YST;6YSU;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7B5K;7BL2;7BL3;7BL4;7BL5;7BL6;7BV8;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7LVK;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NBU;7NWT;7NWW;7O19;7O1A;7O1C;7ODE;7OIF;7OIG;7OII;7OIZ;7OJ0;7OT5;7P3K;7PJS;7PJT;7PJU;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGH;7QGN;7QGR;7QQ3;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7Z20;7ZOD;7ZP8;7ZQ5;7ZQ6;7ZTA;8A3L;8AKN;8AM9;8ANA;8AP4;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8C8X;8C8Y;8C8Z;8C90;8C91;8C92;8C93;8C94;8C96;8C97;8CAM;8CEU;8CGD;8CGK;8CGV;8EIU;8EKC;8EMM;8FIZ;8FTO;8FZD;8FZE;8FZF;8FZG;8FZH;8FZI;8FZJ;8G2U;8G31;8G34;8G38;8G6W;8G6X;8G6Y;8G7P;8G7Q;8G7R;8G7S;8HSP;8HTZ;8HU1;8IFB;8IFC;8J1Z;8KIE;8P16;8P17;8P18;8PEG;8PHJ;8PKL;8PVA;8Q4F;8QBT;8QK7;8QOA;8R6C;8R8M;8RPY;8RPZ;8RQ0;8RQ2;8SYL;8T5D;8T5H;8VS9;8VSA;8W51;8YUO;8YUP;8YUQ;8YUR;8YUS;9D89;9DYG;9FBV;9GFT;9GGR;9GR1;9H3L;9H3M;9H3O;9H3P;9H3R;9H3S;9H3T;9H3U;9H3V;9H3W;9H3X;9H3Y;9H3Z;9HA1;9HA2;9HA4;9HA5;9HA6;9HAI;9HAM;9MOR;9MQ4;,PF00238;
P0ADY7,reviewed,RL16_ECOLI,Large ribosomal subunit protein uL16 (50S ribosomal protein L16),rplP b3313 JW3275,Escherichia coli (strain K12),136,,cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],2J28;2RDO;3BBX;3J5L;3J7Z;3J8G;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4CSU;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4UY8;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5ADY;5AFI;5AKA;5GAD;5GAE;5GAF;5GAG;5GAH;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5MGP;5NCO;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6BU8;6BY1;6C4H;6C4I;6DNC;6ENF;6ENJ;6ENU;6GBZ;6GC8;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I0Y;6I7V;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6PJ6;6Q97;6Q98;6Q9A;6QDW;6QUL;6S0K;6SZS;6TBV;6TC3;6U48;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XGF;6XII;6XIJ;6XZ7;6XZA;6XZB;6Y69;6YSR;6YSS;6YST;6YSU;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7B5K;7BL4;7BL5;7BL6;7BV8;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7LVK;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NBU;7NSO;7NSP;7NSQ;7NWT;7NWW;7O19;7O1A;7O1C;7OIF;7OIG;7OII;7OIZ;7OJ0;7OT5;7P3K;7PJS;7PJT;7PJU;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGN;7QGR;7QQ3;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7YLA;7Z20;7ZOD;7ZP8;7ZQ5;7ZQ6;7ZTA;8A3L;8AKN;8AM9;8ANA;8AP4;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8C8X;8CAM;8CEU;8CGD;8CGK;8CGV;8EIU;8EKC;8EMM;8FIZ;8FTO;8FZD;8FZE;8FZF;8FZG;8FZH;8FZI;8FZJ;8G2U;8G31;8G34;8G38;8G6W;8G6X;8G6Y;8G7P;8G7Q;8G7R;8G7S;8HSP;8HTZ;8HU1;8IFB;8IFC;8P16;8P17;8P18;8PEG;8PHJ;8PKL;8PVA;8Q4F;8QBT;8QK7;8QOA;8R3V;8R6C;8R8M;8RCL;8RCM;8RCS;8RCT;8RPY;8RPZ;8RQ0;8RQ2;8SYL;8T5D;8T5H;8UPO;8UPR;8UQL;8UQM;8UQP;8UR0;8URH;8URI;8URX;8URY;8VS9;8VSA;8W51;8YUO;8YUP;8YUQ;8YUR;9AX7;9AX8;9CG5;9CG6;9CG7;9D89;9FBV;9GFT;9GGR;9H3Z;9HA6;9MOR;9MQ4;,PF00252;
P0ADZ0,reviewed,RL23_ECOLI,Large ribosomal subunit protein uL23 (50S ribosomal protein L23),rplW b3318 JW3280,Escherichia coli (strain K12),100,,cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],1ML5;2J28;2RDO;2VRH;3BBX;3IY9;3J45;3J46;3J5L;3J7Z;3J8G;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4CSU;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4UY8;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5ADY;5AFI;5AKA;5GAD;5GAE;5GAF;5GAG;5GAH;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5MGP;5NCO;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6FU8;6GBZ;6GC0;6GC4;6GC6;6GC7;6GC8;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I0Y;6I7V;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6PJ6;6Q97;6Q98;6Q9A;6QUL;6S0K;6SZS;6TBV;6TC3;6U48;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNT;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XGF;6XII;6XIJ;6XZ7;6XZA;6XZB;6Y69;6YS3;6YSR;6YSS;6YST;6YSU;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7B5K;7BL2;7BL3;7BL4;7BL5;7BL6;7BV8;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7LVK;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NBU;7NWT;7O19;7O1A;7O1C;7ODE;7OIZ;7OJ0;7P3K;7PJS;7PJT;7PJU;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGH;7QGN;7QGR;7QQ3;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7YLA;7ZP8;7ZQ5;7ZQ6;7ZTA;8A3L;8AKN;8AM9;8ANA;8AP4;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8C8X;8C8Y;8C8Z;8C90;8C91;8C92;8C93;8C97;8C98;8C9A;8CAM;8CEU;8CGD;8CGK;8CGV;8EIU;8EKC;8EMM;8FIZ;8FTO;8FZD;8FZE;8FZF;8FZG;8FZH;8FZI;8FZJ;8G2U;8G31;8G34;8G38;8G6W;8G6X;8G6Y;8G7P;8G7Q;8G7R;8G7S;8HSP;8HTZ;8HU1;8IFB;8IFC;8J1Z;8P16;8P17;8P18;8PEG;8PHJ;8PKL;8PVA;8Q4F;8QBT;8QK7;8QOA;8R6C;8R8M;8RPY;8RPZ;8RQ0;8RQ2;8SYL;8T5D;8T5H;8UPO;8UPR;8UQL;8UQM;8UQP;8UR0;8URH;8URI;8URX;8URY;8VS9;8VSA;8W51;8YUO;8YUP;8YUQ;8YUR;8YUS;9CL9;9D89;9DYG;9FBV;9GFT;9GGR;9H3M;9H3N;9H3O;9H3P;9H3Q;9H3R;9H3S;9H3T;9H3U;9H3V;9H3W;9H3X;9H3Y;9H3Z;9HA1;9HA2;9HA3;9HA4;9HA5;9HA6;9HA7;9HAI;9MOR;9MQ4;,PF00276;
P0ADZ4,reviewed,RS15_ECOLI,Small ribosomal subunit protein uS15 (30S ribosomal protein S15),rpsO secC b3165 JW3134,Escherichia coli (strain K12),89,,cytoplasmic translation [GO:0002181]; regulation of translation [GO:0006417]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412],rRNA binding [GO:0019843]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],1EG0;2VAZ;2YKR;3IY8;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO2;5NO3;5NO4;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6NQB;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W6K;6W77;6W7M;6W7N;6W7W;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AFI;7AFL;7AFO;7B5K;7BOD;7BOE;7BOF;7BOG;7BOH;7BOI;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAS;7NAT;7NAU;7NAV;7NAX;7NBU;7O19;7O1A;7O1C;7O5H;7OE0;7OE1;7OI0;7OIZ;7OJ0;7P3K;7PJV;7PJY;7QG8;7QGH;7QGN;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BD5;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CAI;8CEP;8CGJ;8CGR;8CGU;8EA3;8EA4;8EIU;8EKC;8EMM;8EYQ;8EYT;8FIZ;8FTO;8FZD;8FZE;8FZF;8FZG;8FZH;8FZI;8FZJ;8G2U;8G31;8G34;8G38;8G6W;8G7P;8G7Q;8G7R;8G7S;8GHU;8HSP;8HTZ;8HU1;8IFB;8IFC;8JSG;8JSH;8K3O;8K4E;8P16;8P17;8P18;8PEG;8PHJ;8PKL;8PVA;8Q4F;8QBT;8QK7;8QOA;8R3V;8R6C;8R8M;8RCL;8RCM;8RCS;8RCT;8SYL;8T5D;8T5H;8UPO;8UPR;8UQL;8UQM;8UQP;8UR0;8URH;8URI;8URX;8URY;8VS9;8VSA;8YUO;8YUP;8YUQ;8YUR;8YUS;9DUK;9DUL;9FBV;9GFT;9GGR;9GUP;9GUQ;9GUS;9GUT;9GUU;9GUV;9GUW;9GUX;9MOR;9MQ4;,PF00312;
P0AE01,reviewed,TRMJ_ECOLI,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (TrMet(Xm32)) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase),trmJ yfhQ b2532 JW2516,Escherichia coli (strain K12),246,,tRNA nucleoside ribose methylation [GO:0002128],protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase activity [GO:0160206],4CND;4CNE;4XBO;,PF00588;
P0AE06,reviewed,ACRA_ECOLI,Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A),acrA lir mtcA b0463 JW0452,Escherichia coli (strain K12),397,,alkane transport [GO:0015895]; bile acid and bile salt transport [GO:0015721]; fatty acid transport [GO:0015908]; response to antibiotic [GO:0046677]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; xenobiotic detoxification by transmembrane export across the cell outer membrane [GO:0140330]; xenobiotic transport [GO:0042908],alkane transmembrane transporter activity [GO:0015567]; bile acid transmembrane transporter activity [GO:0015125]; identical protein binding [GO:0042802],2F1M;5NG5;5O66;5V5S;,PF00529;PF16576;
P0AE08,reviewed,AHPC_ECOLI,Alkyl hydroperoxide reductase C (EC 1.11.1.26) (Alkyl hydroperoxide reductase protein C22) (Peroxiredoxin) (SCRP-23) (Sulfate starvation-induced protein 8) (SSI8) (Thioredoxin peroxidase),ahpC b0605 JW0598,Escherichia coli (strain K12),187,,cell redox homeostasis [GO:0045454]; cellular response to sulfate starvation [GO:0009970]; hydrogen peroxide catabolic process [GO:0042744]; response to alkyl hydroperoxide [GO:0033195]; response to hydroperoxide [GO:0033194]; response to oxidative stress [GO:0006979]; siderophore biosynthetic process [GO:0019290],"hydroperoxide reductase activity [GO:0032843]; identical protein binding [GO:0042802]; NADH-dependent peroxiredoxin activity [GO:0102039]; oxidoreductase activity, acting on peroxide as acceptor [GO:0016684]; peroxidase activity [GO:0004601]; thioredoxin peroxidase activity [GO:0008379]",5B8A;5B8B;,PF10417;PF00578;
P0AE12,reviewed,AMN_ECOLI,AMP nucleosidase (EC 3.2.2.4),amn b1982 JW1963,Escherichia coli (strain K12),484,,AMP salvage [GO:0044209]; nucleoside metabolic process [GO:0009116],AMP nucleosidase activity [GO:0008714],1T8R;1T8S;1T8W;1T8Y;,PF10423;PF01048;
P0AE16,reviewed,AMPG_ECOLI,Anhydromuropeptide permease (AmpG permease) (Muropeptide:H(+) symporter),ampG b0433 JW0423,Escherichia coli (strain K12),491,,cell wall organization [GO:0071555]; peptidoglycan turnover [GO:0009254],peptidoglycan transmembrane transporter activity [GO:0015647]; symporter activity [GO:0015293],9C3F;,PF07690;
P0AE18,reviewed,MAP1_ECOLI,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M),map b0168 JW0163,Escherichia coli (strain K12),264,,proteolysis [GO:0006508],ferrous iron binding [GO:0008198]; initiator methionyl aminopeptidase activity [GO:0004239]; metalloaminopeptidase activity [GO:0070006],1C21;1C22;1C23;1C24;1C27;1MAT;1XNZ;1YVM;2BB7;2EVC;2EVM;2EVO;2GG0;2GG2;2GG3;2GG5;2GG7;2GG8;2GG9;2GGB;2GGC;2GTX;2GU4;2GU5;2GU6;2GU7;2MAT;2P98;2P99;2P9A;2Q92;2Q93;2Q94;2Q95;2Q96;3D27;3MAT;4MAT;4Z7M;6IZ7;6IZI;6J0A;,PF00557;
P0AE22,reviewed,APHA_ECOLI,Class B acid phosphatase (CBAP) (EC 3.1.3.2),aphA napA yjbP b4055 JW4015,Escherichia coli (strain K12),237,,,acid phosphatase activity [GO:0003993]; identical protein binding [GO:0042802]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287],1N8N;1N9K;1RMQ;1RMT;1RMY;2B82;2B8J;2G1A;2HEG;2HF7;3CZ4;,PF03767;
P0AE24,reviewed,ARAE_ECOLI,Arabinose-proton symporter (Arabinose transporter),araE b2841 JW2809,Escherichia coli (strain K12),472,,fucose transmembrane transport [GO:0015756]; L-arabinose transmembrane transport [GO:0042882]; transmembrane transport [GO:0055085],fucose transmembrane transporter activity [GO:0015150]; L-arabinose transmembrane transporter activity [GO:0015147]; symporter activity [GO:0015293],,PF00083;
P0AE52,reviewed,BCP_ECOLI,Peroxiredoxin Bcp (EC 1.11.1.24) (Bacterioferritin comigratory protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Bcp),bcp b2480 JW2465,Escherichia coli (strain K12),156,,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; response to oxidative stress [GO:0006979],hydroperoxide reductase activity [GO:0032843]; thioredoxin peroxidase activity [GO:0008379],,PF00578;
